"Disclaimer - The Data provided in the adjusted 52 week high and adjusted 52 week low columns  are adjusted for corporate actions (bonus, splits & rights).For actual (unadjusted) 52 week high & low prices, kindly refer bhavcopy."
"Effective for 19-Apr-2024"
"SYMBOL","SERIES","Adjusted 52_Week_High","52_Week_High_Date","Adjusted 52_Week_Low","52_Week_Low_DT"
"20MICRONS","EQ","    201.00","22-DEC-2023","     79.20","26-APR-2023"
"21STCENMGM","BE","     53.60","26-FEB-2024","     17.00","06-JUN-2023"
"360ONE","EQ","    900.95","18-APR-2024","    398.00","16-MAY-2023"
"3IINFOLTD","EQ","     63.90","31-JAN-2024","     30.70","24-MAY-2023"
"3MINDIA","EQ","  39876.10","29-DEC-2023","  22125.25","24-APR-2023"
"3PLAND","BE","     40.00","06-FEB-2024","     18.35","20-JUL-2023"
"5PAISA","EQ","    758.45","09-JAN-2024","    290.35","19-APR-2023"
"63MOONS","EQ","    690.75","11-DEC-2023","    162.00","29-MAY-2023"
"A2ZINFRA","BE","     16.70","27-FEB-2024","      6.00","21-APR-2023"
"AAATECH","EQ","    134.10","18-APR-2024","     50.55","21-APR-2023"
"AAKASH","EQ","     15.40","12-DEC-2023","      5.70","09-OCT-2023"
"AAREYDRUGS","BE","     68.00","04-JAN-2024","     26.45","19-APR-2023"
"AARON","EQ","    326.40","11-DEC-2023","    200.00","10-MAY-2023"
"AARTECH","EQ","    206.55","18-APR-2024","     95.05","19-JUL-2023"
"AARTIDRUGS","EQ","    645.75","25-JUL-2023","    409.00","26-APR-2023"
"AARTIIND","EQ","    762.80","18-APR-2024","    438.00","26-OCT-2023"
"AARTIPHARM","EQ","    566.95","08-FEB-2024","    320.30","17-JUL-2023"
"AARTISURF","EQ","    810.00","20-JAN-2024","    548.15","27-MAR-2024"
"AARVEEDEN","EQ","     42.70","05-FEB-2024","     19.50","23-JUN-2023"
"AARVI","EQ","    184.25","15-APR-2024","    113.00","10-NOV-2023"
"AAVAS","EQ","   1817.60","09-OCT-2023","   1307.00","28-MAR-2024"
"ABAN","BE","     93.35","07-FEB-2024","     37.30","21-APR-2023"
"ABB","EQ","   6773.10","12-APR-2024","   3141.15","21-APR-2023"
"ABBOTINDIA","EQ","  29638.95","16-FEB-2024","  20605.05","19-MAY-2023"
"ABCAPITAL","EQ","    211.00","16-APR-2024","    155.00","21-DEC-2023"
"ABFRL","EQ","    266.00","08-FEB-2024","    184.40","23-MAY-2023"
"ABMINTLLTD","EQ","     74.00","12-FEB-2024","     31.35","23-AUG-2023"
"ABSLAMC","EQ","    536.00","28-FEB-2024","    330.65","28-APR-2023"
"ABSLBAINAV","EQ","-","-","-","-"
"ABSLBANETF","EQ","     50.35","09-APR-2024","     39.99","24-JUL-2023"
"ABSLLIQUID","EQ","   1030.00","15-MAR-2024","    994.04","06-MAR-2024"
"ABSLLQINAV","EQ","-","-","-","-"
"ABSLNN50ET","EQ","     67.00","26-FEB-2024","     39.33","21-APR-2023"
"ABSLNNINAV","EQ","-","-","-","-"
"ACC","EQ","   2746.40","16-FEB-2024","   1700.00","28-APR-2023"
"ACCELYA","EQ","   2127.40","15-FEB-2024","   1251.45","16-MAY-2023"
"ACE","EQ","   1695.00","02-APR-2024","    404.15","21-APR-2023"
"ACEINTEG","EQ","     55.50","15-DEC-2023","     29.60","14-MAR-2024"
"ACI","EQ","    837.70","27-FEB-2024","    494.15","03-AUG-2023"
"ACL","EQ","    158.25","05-JUN-2023","     54.90","10-MAY-2023"
"ACLGATI","EQ","    177.65","14-SEP-2023","     95.35","28-MAR-2024"
"ADANIENSOL","EQ","   1250.00","03-JAN-2024","    686.00","26-OCT-2023"
"ADANIENT","EQ","   3350.00","04-MAR-2024","   1775.80","24-APR-2023"
"ADANIGREEN","EQ","   2018.95","27-FEB-2024","    815.55","26-OCT-2023"
"ADANIPORTS","EQ","   1424.95","02-APR-2024","    654.90","19-APR-2023"
"ADANIPOWER","EQ","    646.90","04-APR-2024","    185.20","19-APR-2023"
"ADFFOODS","EQ","    261.95","11-SEP-2023","    143.40","19-APR-2023"
"ADL","EQ","    105.10","09-APR-2024","     58.10","28-APR-2023"
"ADORWELD","EQ","   1770.00","04-JAN-2024","    978.00","19-APR-2023"
"ADROITINFO","BE","     24.89","18-SEP-2023","     11.73","04-JUL-2023"
"ADSL","EQ","    201.25","23-JAN-2024","     78.55","24-APR-2023"
"ADVANIHOTR","EQ","     91.65","03-APR-2024","     37.65","19-APR-2023"
"ADVENZYMES","EQ","    425.15","15-FEB-2024","    249.25","19-APR-2023"
"AEGISCHEM","EQ","    553.95","18-APR-2024","    280.00","03-NOV-2023"
"AEROFLEX","EQ","    196.35","31-AUG-2023","    115.00","13-MAR-2024"
"AETHER","EQ","   1209.00","22-JUN-2023","    761.55","27-MAR-2024"
